Realisation number,Variable,index,Variance,Coefficient of variation,Skewness,Lag-1 AC
1,x,0,0.5930990953082264,0.9288870187250158,-0.36503261098253736,0.8872291184515044
2,x,0,0.47275405007363774,0.8556701030927836,0.5026299179465601,0.7218598779718073
3,x,0,-0.44161582158636653,0.13907006101409636,0.16263412581527456,0.24174205764780138
4,x,0,-0.8220071533768147,-0.3696612665684831,-0.7109194193141175,-0.42646749421418056
5,x,0,0.8013885966757838,0.9002735114664423,0.030086261308647173,0.8068588260046287
6,x,0,0.13822848727119716,0.774037450031559,-0.49884283610351365,0.5930990953082264
7,x,0,-0.04649694929518199,0.7677256469598149,-0.6221333894382496,0.646539027982327
8,x,0,0.02882390069429834,0.8110666947191247,0.4395118872291185,0.7277508941721019
9,x,0,0.36082474226804123,0.9023774458236904,0.3195876288659794,0.880075741636861
10,x,0,-0.06206606353881759,0.4142646749421418,-0.8081211866189775,0.5766884073216916
11,x,0,-0.24468756574794867,0.47906585314538186,0.27288028613507265,0.05996212918156954
12,x,0,-0.18451504313065434,0.7921312855038923,-0.8152745634336209,0.7534188933305281
13,x,0,0.16978750262991796,0.5127288028613508,0.61077214390911,0.4996844098464128
14,x,0,0.7782453187460552,0.9684409846412791,0.34946349673890176,0.5918367346938775
15,x,0,0.5699558173784979,0.7626762045024196,0.21733641910372398,0.8405217757205976
16,x,0,-0.5278771302335368,0.3195876288659794,-0.038081211866189776,-0.36334946349673897
17,x,0,-0.7285924679150011,0.23248474647590994,0.5089417210183043,0.7496318114874816
18,x,0,-0.35661687355354516,0.6494845360824743,-0.5590153587208079,0.8409425625920471
19,x,0,-0.5375552282768777,0.5497580475489166,0.6444350936250789,0.754681253944877
20,x,0,0.5556490637492111,0.8985903639806438,-0.28087523669261516,0.6048811277088155
21,x,0,-0.17778245318746055,0.8316852514201558,-0.17778245318746055,0.7954975804754892
22,x,0,0.3237954975804755,0.8817588891226594,0.4765411319166842,0.6991373869135283
23,x,0,-0.0061014096360193565,0.791289711760993,-0.03176940879444561,0.6204502419524511
24,x,0,0.4092152324847465,0.8300021039343572,0.37597306964022725,0.5724805386071955
25,x,0,-0.3406269724384599,0.8729223648222176,-0.5543867031348623,0.39995792131285507
26,x,0,0.37134441405428154,0.7891857774037451,0.5123080159899012,0.9011150852093415
27,x,0,0.36250788975383974,0.8409425625920471,-0.30233536713654535,0.47149168945928893
28,x,0,0.17652009257311174,0.5981485377656217,-0.16515884704397224,0.7075531243425206
29,x,0,0.49884283610351365,0.8834420366084578,0.36377025036818855,0.7003997475278771
30,x,0,0.7576267620450242,0.9225752156532717,0.6722070271407533,0.8826004628655586
31,x,0,-0.19924258363139072,0.7407952871870398,0.15842625710077846,0.5994108983799706
32,x,0,0.8220071533768147,0.9562381653692406,-0.02419524510835262,0.9175257731958762
33,x,0,-0.32547864506627394,0.8140122028192721,-0.7521565327161793,0.528718703976436
34,x,0,-0.23248474647590994,0.8072796128760783,-0.7336419103723965,-0.26572690932042925
35,x,0,-0.528718703976436,0.591415947822428,-0.5421838838628235,0.68651378077004
36,x,0,-0.61077214390911,0.38817588891226595,-0.5825794235219862,0.6924047969703346
37,x,0,0.8371554807490007,0.8969072164948454,0.4828529349884284,0.8144329896907218
38,x,0,0.8114874815905744,0.9705449189985274,0.10666947191247635,0.8590363980643805
39,x,0,0.6873553545129392,0.8868083315800548,0.16684199452977067,0.7807700399747529
40,x,0,0.18577740374500318,0.8018093835472334,-0.20092573111718914,0.6608457816116138
41,x,0,-0.20513359983168528,0.6372817168104356,0.691984010098885,0.5808962760361878
42,x,0,-0.5097832947612035,0.6827266989269934,-0.06543235851041447,0.8514622343782875
43,x,0,0.7163896486429624,0.9192089206816747,-0.5421838838628235,0.7391121397012413
44,x,0,0.6116137176520092,0.9036398064380392,0.19966337050284033,0.9082684620239849
45,x,0,-0.3418893330528088,0.4327792972859247,-0.19671786240269304,0.8523038081211867
46,x,0,0.1403324216284452,0.8064380391331791,-0.19124763307384812,0.6970334525562802
47,x,0,0.2695139911634757,0.8367346938775511,-0.6372817168104356,0.7677256469598149
48,x,0,0.42394277298548283,0.8081211866189775,-0.07300652219650748,0.904902167052388
49,x,0,-0.7218598779718073,0.36166631601094046,0.5055754260467074,-0.18788133810225122
50,x,0,0.7757205975173574,0.9381443298969072,0.6600042078687145,0.9120555438670314
51,x,0,0.3873343151693667,0.8518830212497371,0.13738691352829793,0.7673048600883653
52,x,0,0.08015989901115086,0.6154007994950558,-0.44582369030086266,0.691984010098885
53,x,0,-0.41973490427098675,0.420576478013886,0.03261098253734483,0.5964653902798233
54,x,0,-0.06627393225331371,0.8106459078476752,0.5623816536924048,0.8417841363349464
55,x,0,0.7332211235009468,0.9175257731958762,0.24426677887649909,0.8792341678939617
56,x,0,-0.2838207447927625,0.5051546391752577,0.12602566799915843,0.23038081211866193
57,x,0,0.4033242162844519,0.8826004628655586,0.12308015989901115,0.05407111298127498
58,x,0,0.5884704397222807,0.8809173153797601,-0.7008205343993268,0.6532716179255208
59,x,0,0.3780770039974753,0.9086892488954346,-0.8257942352198612,0.7992846623185358
60,x,0,-0.6957710919419314,-0.020828950136755734,0.7702503681885126,0.574163686092994
61,x,0,0.03261098253734483,0.8548285293498844,-0.5842625710077847,0.7757205975173574
62,x,0,0.6145592257521565,0.8455712181779929,0.37597306964022725,0.8257942352198612
63,x,0,-0.6663160109404587,0.41089837997054496,0.5644855880496529,0.41847254365663794
64,x,0,0.585945718493583,0.8792341678939617,0.17820324005891017,0.4874815905743741
65,x,0,0.5998316852514203,0.9175257731958762,0.5909951609509784,0.85945718493583
66,x,0,-0.14243635598569326,0.7155480749000631,-0.6015148327372186,0.8232695139911635
67,x,0,0.5127288028613508,0.8565116768356827,0.6444350936250789,0.6827266989269934
68,x,0,-0.37302756154008,0.6663160109404587,0.6175047338523039,0.8430464969492952
69,x,0,-0.6625289290974122,0.7109194193141175,-0.466021460130444,-0.6600042078687145
70,x,0,0.3620871028823901,0.8695560698506207,0.2909741216074059,0.7954975804754892
71,x,0,0.06374921102461605,0.40290342941300233,0.7062907637281718,0.6987166000420787
72,x,0,-0.10666947191247635,0.8262150220913108,-0.5998316852514203,0.8005470229328846
73,x,0,0.7025036818851252,0.9196297075531243,0.739532926572691,0.897328003366295
74,x,0,-0.3515674310961498,0.49589732800336633,-0.1365453397853987,0.24763307384809594
75,x,0,0.04649694929518199,0.7879234167893963,-0.179465600673259,0.5451293919629708
76,x,0,0.2063959604460341,0.811908268462024,0.5775299810645907,0.5863665053650327
77,x,0,0.3574584472964444,0.8253734483484115,0.7260677466863035,0.9116347569955818
78,x,0,-0.061645276667367986,0.6170839469808542,-0.16347569955817381,0.7887649905322954
79,x,0,0.17820324005891017,0.7900273511466442,0.32926572690932043,0.7264885335577531
80,x,0,0.41131916684199454,0.8880706921944036,-0.09783294761203451,0.7706711550599622
81,x,0,0.18535661687355356,0.7929728592467915,0.0544918998527246,0.4066905112560488
82,x,0,0.6343362087102883,0.8990111508520935,0.5304018514622344,0.9011150852093415
83,x,0,-0.20807910793183254,0.5232484746475909,-0.24047969703345257,0.8384178413633495
84,x,0,0.3583000210393436,0.8657689880075742,0.36881969282558386,0.8030717441615822
85,x,0,-0.2383757626762045,0.6709446665264045,-0.36377025036818855,0.6907216494845362
86,x,0,0.3166421207658321,0.6844098464127919,0.009046917736166631,0.7083946980854198
87,x,0,-0.10246160319798023,0.7475278771302336,0.5720597517357459,0.29265726909320433
88,x,0,-0.8161161371765202,-0.25057858194824323,-0.32926572690932043,0.5236692615190406
89,x,0,0.5047338523038081,0.9044813801809385,0.5152535240900484,0.8236903008626131
90,x,0,-0.3465179886387545,0.6604249947401641,0.42394277298548283,-0.17062907637281718
91,x,0,-0.5602777193351567,0.612876078266358,-0.3052808752366926,0.7609930570166211
92,x,0,-0.08100147275405008,0.7824531874605513,-0.24384599200504944,0.8110666947191247
93,x,0,-0.6200294550810015,0.7353250578581948,0.4361455922575216,0.3810225120976226
94,x,0,-0.4925310330317694,0.5943614559225752,-0.5097832947612035,0.7563644014306754
95,x,0,0.14538186408584056,0.7731958762886598,-0.7723543025457605,0.6932463707132338
96,x,0,0.4327792972859247,0.8156953503050706,0.30612244897959184,0.8880706921944036
97,x,0,-0.2960235640648012,0.842204923206396,-0.17441615821586368,0.5548074900063118
98,x,0,0.6061434883231643,0.8615611192930781,-0.739532926572691,0.8569324637071324
99,x,0,-0.2152324847464759,0.7929728592467915,0.6343362087102883,0.8333683989059543
100,x,0,0.27961287607826635,0.8602987586787293,-0.7748790237744583,0.4874815905743741
